00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration blob -> org.hibernate.type.BasicTypeReference@42988357
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@42988357
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@571274b6
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@1888692
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration short -> org.hibernate.type.BasicTypeReference@58cec40e
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration short -> org.hibernate.type.BasicTypeReference@58cec40e
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@58cec40e
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration integer -> org.hibernate.type.BasicTypeReference@5eca667b
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration int -> org.hibernate.type.BasicTypeReference@5eca667b
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@5eca667b
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration long -> org.hibernate.type.BasicTypeReference@1ab91ed0
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration long -> org.hibernate.type.BasicTypeReference@1ab91ed0
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@1ab91ed0
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration float -> org.hibernate.type.BasicTypeReference@5fc0a703
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration float -> org.hibernate.type.BasicTypeReference@5fc0a703
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@5fc0a703
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration double -> org.hibernate.type.BasicTypeReference@7180f641
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration double -> org.hibernate.type.BasicTypeReference@7180f641
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@7180f641
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@7c74afb4
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@7c74afb4
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@2e696174
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@2e696174
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration character -> org.hibernate.type.BasicTypeReference@74cb3305
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration char -> org.hibernate.type.BasicTypeReference@74cb3305
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@74cb3305
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@20fe123
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration string -> org.hibernate.type.BasicTypeReference@5b5fe7d9
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@5b5fe7d9
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration nstring -> org.hibernate.type.BasicTypeReference@3ed84f07
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration characters -> org.hibernate.type.BasicTypeReference@132610c2
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration char[] -> org.hibernate.type.BasicTypeReference@132610c2
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration [C -> org.hibernate.type.BasicTypeReference@132610c2
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@6e5ded7c
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration text -> org.hibernate.type.BasicTypeReference@4a98ae41
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration ntext -> org.hibernate.type.BasicTypeReference@36446062
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration clob -> org.hibernate.type.BasicTypeReference@15c7d668
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@15c7d668
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration nclob -> org.hibernate.type.BasicTypeReference@1470ffa1
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@1470ffa1
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@1b95b1c8
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@e4785a8
00:03:13.965 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@2598769e
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@3686087b
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@2bf492
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@32f35bfa
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration Duration -> org.hibernate.type.BasicTypeReference@5439e7bc
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@5439e7bc
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@527af890
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@527af890
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@daa0929
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@daa0929
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@25aebfed
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@25aebfed
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@3e31a8e3
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@3e31a8e3
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@3b8a69cd
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@66b4ccd4
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@36355638
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@36355638
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@5f096ad
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@6d5c43df
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@2dcee0cc
00:03:13.966 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@31d6e7db
